hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-14-062,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,867b389f45370721,ano,,"51. Návrh dohody o ukončení Smlouvy o poskytnutí individuální dotace v letech 2023-2025 se společností DBP, s. r. o., návrh dodatku č. 1 ke Smlouvě o poskytnutí individuální dotace 2023-2025 s Divadlem Bolka Polívky, z. ú. - návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-62-42516.html
Z9-14-064,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,340475d4302fab0d,ano,,49. Návrh na uzavření smluv o poskytnutí jednoletých individuálních dotací z rozpočtu města Brna v oblasti kultury v roce 2024 - bod 1.2,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-64-42626.html
Z9-14-065,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,1cb926a547877b42,ano,,49. Návrh na uzavření smluv o poskytnutí jednoletých individuálních dotací z rozpočtu města Brna v oblasti kultury v roce 2024,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-65-42650.html
Z9-14-066,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,12ed8b7f0100417e,ano,,49. Návrh na uzavření smluv o poskytnutí jednoletých individuálních dotací z rozpočtu města Brna v oblasti kultury v roce 2024 - bod 2,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-66-42677.html
Z9-14-067,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,05eb1eec3bd52956,ano,,50. Návrh na uzavření smluv o poskytnutí víceletých individuálních dotací z rozpočtu města Brna v oblasti kultury v letech 2024–2026,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-67-42712.html
Z9-14-068,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,2e0676bf2b97507f,ano,,"52. Návrh smlouvy s JIC, zájmovým sdružením právnických osob, o poskytování veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby – rozpočtové opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-68-42748.html
Z9-14-069,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,1fee77ba323245bd,ano,,53. Návrh smlouvy s FabLab Brno s. r. o. o poskytování veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-69-42777.html
Z9-14-070,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,9bca2e7279978e26,ano,,54. Návrh Smlouvy o poskytnutí investičního příspěvku „Nová Zbrojovka – objekt A“,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-70-42808.html
Z9-14-071,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,89295b84e092c7f1,ano,,55. Návrh Dodatku č. 1 ke Smlouvě o poskytnutí investičního příspěvku „BLOK VÍDEŇSKÁ – DOSTAVBY“,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-71-42882.html
Z9-14-072,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,678ad7b4fba47514,ano,,56. Návrh na uzavření dohody o narovnání – smírné vyřešení soudních sporů se společností KOREKT REAL s. r. o.,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-72-42915.html
Z9-14-073,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,01ed3e8a8561e271,ano,,57. Odpis nedobytné pohledávky z titulu dlužného nájemného,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-73-42943.html
Z9-14-074,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,7a030ae4bebbb348,ano,,"58. Žádost o prominutí či snížení smluvní pokuty, návrh Dodatku č. 1 k Plánovací smlouvě č. 6313173069",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-74-42975.html
